tyler_id,default_id,dex_number,species,form,name,other_forms,type1,type2,ability1,ability2,ability3,base_hp,base_atk,base_def,base_spa,base_dpd,base_spe,exp_yield,hp_yield,atk_yield,def_yield,spa_yield,spd_yield,spe_yield,class,male_%,female_%,catch_rate,base_friendship,evo_method,evo_condition,evo_time,special_evo,pre_evo,egg_group1,egg_group2,hatch_cycles,exp_group,eviolite
277,872,208,Steelix,mega,Steelix (Mega Steelix),"normal, mega",Steel,Ground,Sand Force,Sand Force,Sand Force,75,125,230,55,95,30,214,0,0,2,0,0,0,Iron Snake Pokémon,0.5,0.5,25,70,Mega,,Any,,Steelix,Mineral,,25,medium_fast,0
278,209,209,Snubbull,normal,Snubbull,,Fairy,,Intimidate,Run Away,Rattled,60,80,50,40,40,30,60,0,1,0,0,0,0,Fairy Pokémon,0.5,0.5,190,70,,,Any,,,Field,Fairy,20,fast,1
279,210,210,Granbull,normal,Granbull,,Fairy,,Intimidate,Quick Feet,Rattled,90,120,75,60,60,45,158,0,2,0,0,0,0,Fairy Pokémon,0.5,0.5,75,70,Level,23,Any,,Snubbull,Field,Fairy,20,fast,0
280,211,211,Qwilfish,normal,Qwilfish,,Water,Poison,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,88,0,1,0,0,0,0,Balloon Pokémon,0.5,0.5,45,70,,,Any,,,Water 2,,20,medium_fast,0
281,212,212,Scizor,normal,Scizor,"normal, mega",Bug,Steel,Swarm,Technician,Light Metal,70,130,100,55,80,65,175,0,2,0,0,0,0,Pincer Pokémon,0.5,0.5,25,70,Trade Holding,Metal Coat,Any,,Scyther,Bug,,25,medium_fast,0
282,873,212,Scizor,mega,Scizor (Mega Scizor),"normal, mega",Bug,Steel,Technician,Technician,Technician,70,150,140,65,100,75,210,0,2,0,0,0,0,Pincer Pokémon,0.5,0.5,25,70,Mega,,Any,,Scizor,Bug,,25,medium_fast,0
283,213,213,Shuckle,normal,Shuckle,,Bug,Rock,Sturdy,Gluttony,Contrary,20,10,230,10,230,5,177,0,0,1,0,1,0,Mold Pokémon,0.5,0.5,190,70,,,Any,,,Bug,,20,medium_slow,0
284,214,214,Heracross,normal,Heracross,"normal, mega",Bug,Fighting,Swarm,Guts,Moxie,80,125,75,40,95,85,175,0,2,0,0,0,0,Single Horn Pokémon,0.5,0.5,45,70,,,Any,,,Bug,,25,slow,0
285,874,214,Heracross,mega,Heracross (Mega Heracross),"normal, mega",Bug,Fighting,Skill Link,Skill Link,Skill Link,80,185,115,40,105,75,210,0,2,0,0,0,0,Single Horn Pokémon,0.5,0.5,45,70,Mega,,Any,,Heracross,Bug,,25,slow,0
286,215,215,Sneasel,normal,Sneasel,,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,86,0,0,0,0,0,1,Sharp Claw Pokémon,0.5,0.5,60,35,,,Any,,,Field,,20,medium_slow,1
287,216,216,Teddiursa,normal,Teddiursa,,Normal,,Pickup,Quick Feet,Honey Gather,60,80,50,50,50,40,66,0,1,0,0,0,0,Little Bear Pokémon,0.5,0.5,120,70,,,Any,,,Field,,20,medium_fast,1
288,217,217,Ursaring,normal,Ursaring,,Normal,,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,175,0,2,0,0,0,0,Hibernator Pokémon,0.5,0.5,60,70,Level,30,Any,,Teddiursa,Field,,20,medium_fast,0
289,218,218,Slugma,normal,Slugma,,Fire,,Magma Armor,Flame Body,Weak Armor,40,40,40,70,40,20,50,0,0,0,1,0,0,Lava Pokémon,0.5,0.5,190,70,,,Any,,,Amorphous,,20,medium_fast,1
290,219,219,Magcargo,normal,Magcargo,,Fire,Rock,Magma Armor,Flame Body,Weak Armor,60,50,120,90,80,30,151,0,0,2,0,0,0,Lava Pokémon,0.5,0.5,75,70,Level,38,Any,,Slugma,Amorphous,,20,medium_fast,0
291,220,220,Swinub,normal,Swinub,,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,50,50,40,30,30,50,50,0,1,0,0,0,0,Pig Pokémon,0.5,0.5,225,70,,,Any,,,Field,,20,slow,1
292,221,221,Piloswine,normal,Piloswine,,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,158,1,1,0,0,0,0,Swine Pokémon,0.5,0.5,75,70,Level,33,Any,,Swinub,Field,,20,slow,1
293,222,222,Corsola,normal,Corsola,,Water,Rock,Hustle,Natural Cure,Regenerator,65,55,95,65,95,35,144,0,0,1,0,1,0,Coral Pokémon,0.5,0.5,60,70,,,Any,,,Water 1,Water 3,20,fast,0
294,223,223,Remoraid,normal,Remoraid,,Water,,Hustle,Sniper,Moody,35,65,35,65,35,65,60,0,0,0,1,0,0,Jet Pokémon,0.5,0.5,190,70,,,Any,,,Water 1,Water 2,20,medium_fast,1
295,224,224,Octillery,normal,Octillery,,Water,,Suction Cups,Sniper,Moody,75,105,75,105,75,45,168,0,1,0,1,0,0,Jet Pokémon,0.5,0.5,75,70,Level,25,Any,,Remoraid,Water 1,Water 2,20,medium_fast,0
296,225,225,Delibird,normal,Delibird,,Ice,Flying,Vital Spirit,Hustle,Insomnia,45,55,45,65,45,75,116,0,0,0,0,0,1,Delivery Pokémon,0.5,0.5,45,70,,,Any,,,Water 1,Field,20,fast,0
297,226,226,Mantine,normal,Mantine,,Water,Flying,Swift Swim,Water Absorb,Water Veil,85,40,70,80,140,70,170,0,0,0,0,2,0,Kite Pokémon,0.5,0.5,25,70,Level,,Any,Have Remoraid in party,Mantyke,Water 1,,25,slow,0
298,227,227,Skarmory,normal,Skarmory,,Steel,Flying,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,163,0,0,2,0,0,0,Armor Bird Pokémon,0.5,0.5,25,70,,,Any,,,Flying,,25,slow,0
299,228,228,Houndour,normal,Houndour,,Dark,Fire,Early Bird,Flash Fire,Unnerve,45,60,30,80,50,65,66,0,0,0,1,0,0,Dark Pokémon,0.5,0.5,120,35,,,Any,,,Field,,20,slow,1
300,229,229,Houndoom,normal,Houndoom,"normal, mega",Dark,Fire,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,175,0,0,0,2,0,0,Dark Pokémon,0.5,0.5,45,35,Level,24,Any,,Houndour,Field,,20,slow,0
301,875,229,Houndoom,mega,Houndoom (Mega Houndoom),"normal, mega",Dark,Fire,Solar Power,Solar Power,Solar Power,75,90,90,140,90,115,210,0,0,0,2,0,0,Dark Pokémon,0.5,0.5,45,35,Mega,,Any,,Houndoom,Field,,20,slow,0
302,230,230,Kingdra,normal,Kingdra,,Water,Dragon,Swift Swim,Sniper,Damp,75,95,95,95,95,85,243,0,1,0,1,1,0,Dragon Pokémon,0.5,0.5,45,70,Trade Holding,Dragon Scale,Any,,Seadra,Water 1,Dragon,20,medium_fast,0
303,231,231,Phanpy,normal,Phanpy,,Ground,,Pickup,Pickup,Sand Veil,90,60,60,40,40,40,66,1,0,0,0,0,0,Long Nose Pokémon,0.5,0.5,120,70,,,Any,,,Field,,20,medium_fast,1
304,232,232,Donphan,normal,Donphan,,Ground,,Sturdy,Sturdy,Sand Veil,90,120,120,60,60,50,175,0,1,1,0,0,0,Armor Pokémon,0.5,0.5,60,70,Level,25,Any,,Phanpy,Field,,20,medium_fast,0
305,233,233,Porygon2,normal,Porygon2,,Normal,,Trace,Download,Analytic,85,80,90,105,95,60,180,0,0,0,2,0,0,Virtual Pokémon,,,45,70,Trade Holding,Up-Grade,Any,,Porygon,Mineral,,20,medium_fast,1
306,234,234,Stantler,normal,Stantler,,Normal,,Intimidate,Frisk,Sap Sipper,73,95,62,85,65,85,163,0,1,0,0,0,0,Big Horn Pokémon,0.5,0.5,45,70,,,Any,,,Field,,20,slow,0
307,235,235,Smeargle,normal,Smeargle,,Normal,,Own Tempo,Technician,Moody,55,20,35,20,45,75,88,0,0,0,0,0,1,Painter Pokémon,0.5,0.5,45,70,,,Any,,,Field,,20,fast,0
308,236,236,Tyrogue,normal,Tyrogue,,Fighting,,Guts,Steadfast,Vital Spirit,35,35,35,35,35,35,42,0,1,0,0,0,0,Scuffle Pokémon,1,0,75,70,,,Any,,,Undiscovered,,25,medium_fast,1
309,237,237,Hitmontop,normal,Hitmontop,,Fighting,,Intimidate,Technician,Steadfast,50,95,95,35,110,70,159,0,0,0,0,2,0,Handstand Pokémon,1,0,45,70,Level,20,Any,,Tyrogue,Human-Like,,25,medium_fast,0
310,238,238,Smoochum,normal,Smoochum,,Ice,Psychic,Oblivious,Forewarn,Hydration,45,30,15,85,65,65,61,0,0,0,1,0,0,Kiss Pokémon,0,1,45,70,,,Any,,,Undiscovered,,25,medium_fast,1
311,239,239,Elekid,normal,Elekid,,Electric,,Static,Static,Vital Spirit,45,63,37,65,55,95,72,0,0,0,0,0,1,Electric Pokémon,0.75,0.25,45,70,,,Any,,,Undiscovered,,25,medium_fast,1
312,240,240,Magby,normal,Magby,,Fire,,Flame Body,Flame Body,Vital Spirit,45,75,37,70,55,83,73,0,0,0,0,0,1,Live Coal Pokémon,0.75,0.25,45,70,,,Any,,,Undiscovered,,25,medium_fast,1
313,241,241,Miltank,normal,Miltank,,Normal,,Thick Fat,Scrappy,Sap Sipper,95,80,105,40,70,100,172,0,0,2,0,0,0,Milk Cow Pokémon,0,1,45,70,,,Any,,,Field,,20,slow,0
314,242,242,Blissey,normal,Blissey,,Normal,,Natural Cure,Serene Grace,Healer,255,10,10,75,135,55,608,3,0,0,0,0,0,Happiness Pokémon,0,1,30,140,High friendship,,Any,,Chansey,Fairy,,40,fast,0
315,243,243,Raikou,normal,Raikou,,Electric,,Pressure,Pressure,Inner Focus,90,85,75,115,100,115,261,0,0,0,1,0,2,Thunder Pokémon,,,3,35,,,Any,,,Undiscovered,,80,slow,0
316,244,244,Entei,normal,Entei,,Fire,,Pressure,Pressure,Inner Focus,115,115,85,90,75,100,261,1,2,0,0,0,0,Volcano Pokémon,,,3,35,,,Any,,,Undiscovered,,80,slow,0
317,245,245,Suicune,normal,Suicune,,Water,,Pressure,Pressure,Inner Focus,100,75,115,90,115,85,261,0,0,1,0,2,0,Aurora Pokémon,,,3,35,,,Any,,,Undiscovered,,80,slow,0
318,246,246,Larvitar,normal,Larvitar,,Rock,Ground,Guts,Guts,Sand Veil,50,64,50,45,50,41,60,0,1,0,0,0,0,Rock Skin Pokémon,0.5,0.5,45,35,,,Any,,,Monster,,40,slow,1
319,247,247,Pupitar,normal,Pupitar,,Rock,Ground,Shed Skin,Shed Skin,Shed Skin,70,84,70,65,70,51,144,0,2,0,0,0,0,Hard Shell Pokémon,0.5,0.5,45,35,Level,30,Any,,Larvitar,Monster,,40,slow,1
320,248,248,Tyranitar,normal,Tyranitar,"normal, mega",Rock,Dark,Sand Stream,Sand Stream,Unnerve,100,134,110,95,100,61,270,0,3,0,0,0,0,Armor Pokémon,0.5,0.5,45,35,Level,55,Any,,Pupitar,Monster,,40,slow,0
321,876,248,Tyranitar,mega,Tyranitar (Mega Tyranitar),"normal, mega",Rock,Dark,Sand Stream,Sand Stream,Sand Stream,100,164,150,95,120,71,315,0,3,0,0,0,0,Armor Pokémon,0.5,0.5,45,35,Mega,,Any,,Tyranitar,Monster,,40,slow,0
322,249,249,Lugia,normal,Lugia,,Psychic,Flying,Pressure,Pressure,Multiscale,106,90,130,90,154,110,306,0,0,0,0,3,0,Diving Pokémon,,,3,0,,,Any,,,Undiscovered,,120,slow,0
323,250,250,Ho-Oh,normal,Ho-Oh,,Fire,Flying,Pressure,Pressure,Regenerator,106,130,90,110,154,90,306,0,0,0,0,3,0,Rainbow Pokémon,,,3,0,,,Any,,,Undiscovered,,120,slow,0
324,251,251,Celebi,normal,Celebi,,Psychic,Grass,Natural Cure,Natural Cure,Natural Cure,100,100,100,100,100,100,270,3,0,0,0,0,0,Time Travel Pokémon,,,45,100,,,Any,,,Undiscovered,,120,medium_slow,0
325,252,252,Treecko,normal,Treecko,,Grass,,Overgrow,Overgrow,Unburden,40,45,35,65,55,70,62,0,0,0,0,0,1,Wood Gecko Pokémon,0.875,0.125,45,70,,,Any,,,Monster,Dragon,20,medium_slow,1
326,253,253,Grovyle,normal,Grovyle,,Grass,,Overgrow,Overgrow,Unburden,50,65,45,85,65,95,142,0,0,0,0,0,2,Wood Gecko Pokémon,0.875,0.125,45,70,Level,16,Any,,Treecko,Monster,Dragon,20,medium_slow,1
327,254,254,Sceptile,normal,Sceptile,"normal, mega",Grass,,Overgrow,Overgrow,Unburden,70,85,65,105,85,120,239,0,0,0,0,0,3,Forest Pokémon,0.875,0.125,45,70,Level,36,Any,,Grovyle,Monster,Dragon,20,medium_slow,0
328,877,254,Sceptile,mega,Sceptile (Mega Sceptile),"normal, mega",Grass,Dragon,Lightning Rod,Lightning Rod,Lightning Rod,70,110,75,145,85,145,284,0,0,0,0,0,3,Forest Pokémon,0.875,0.125,45,70,Mega,,Any,,Sceptile,Monster,Dragon,20,medium_slow,0
329,255,255,Torchic,normal,Torchic,,Fire,,Blaze,Blaze,Speed Boost,45,60,40,70,50,45,62,0,0,0,1,0,0,Chick Pokémon,0.875,0.125,45,70,,,Any,,,Field,,20,medium_slow,1
330,256,256,Combusken,normal,Combusken,,Fire,Fighting,Blaze,Blaze,Speed Boost,60,85,60,85,60,55,142,0,1,0,1,0,0,Young Fowl Pokémon,0.875,0.125,45,70,Level,16,Any,,Torchic,Field,,20,medium_slow,1
331,257,257,Blaziken,normal,Blaziken,"normal, mega",Fire,Fighting,Blaze,Blaze,Speed Boost,80,120,70,110,70,80,239,0,3,0,0,0,0,Blaze Pokémon,0.875,0.125,45,70,Level,36,Any,,Combusken,Field,,20,medium_slow,0
332,878,257,Blaziken,mega,Blaziken (Mega Blaziken),"normal, mega",Fire,Fighting,Speed Boost,Speed Boost,Speed Boost,80,160,80,130,80,100,284,0,3,0,0,0,0,Blaze Pokémon,0.875,0.125,45,70,Mega,,Any,,Blaziken,Field,,20,medium_slow,0
333,258,258,Mudkip,normal,Mudkip,,Water,,Torrent,Torrent,Damp,50,70,50,50,50,40,62,0,1,0,0,0,0,Mud Fish Pokémon,0.875,0.125,45,70,,,Any,,,Monster,Water 1,20,medium_slow,1
334,259,259,Marshtomp,normal,Marshtomp,,Water,Ground,Torrent,Torrent,Damp,70,85,70,60,70,50,142,0,2,0,0,0,0,Mud Fish Pokémon,0.875,0.125,45,70,Level,16,Any,,Mudkip,Monster,Water 1,20,medium_slow,1
335,260,260,Swampert,normal,Swampert,"normal, mega",Water,Ground,Torrent,Torrent,Damp,100,110,90,85,90,60,241,0,3,0,0,0,0,Mud Fish Pokémon,0.875,0.125,45,70,Level,36,Any,,Marshtomp,Monster,Water 1,20,medium_slow,0
336,879,260,Swampert,mega,Swampert (Mega Swampert),"normal, mega",Water,Ground,Swift Swim,Swift Swim,Swift Swim,100,150,110,95,110,70,286,0,3,0,0,0,0,Mud Fish Pokémon,0.875,0.125,45,70,Mega,,Any,,Swampert,Monster,Water 1,20,medium_slow,0
337,261,261,Poochyena,normal,Poochyena,,Dark,,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,56,0,1,0,0,0,0,Bite Pokémon,0.5,0.5,255,70,,,Any,,,Field,,15,medium_fast,1
338,262,262,Mightyena,normal,Mightyena,,Dark,,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,147,0,2,0,0,0,0,Bite Pokémon,0.5,0.5,127,70,Level,18,Any,,Poochyena,Field,,15,medium_fast,0
339,263,263,Zigzagoon,normal,Zigzagoon,,Normal,,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,56,0,0,0,0,0,1,Tiny Raccoon Pokémon,0.5,0.5,255,70,,,Any,,,Field,,15,medium_fast,1
340,264,264,Linoone,normal,Linoone,,Normal,,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,147,0,0,0,0,0,2,Rushing Pokémon,0.5,0.5,90,70,Level,20,Any,,Zigzagoon,Field,,15,medium_fast,0
341,265,265,Wurmple,normal,Wurmple,,Bug,,Shield Dust,Shield Dust,Run Away,45,45,35,20,30,20,56,1,0,0,0,0,0,Worm Pokémon,0.5,0.5,255,70,,,Any,,,Bug,,15,medium_fast,1
342,266,266,Silcoon,normal,Silcoon,,Bug,,Shed Skin,Shed Skin,Shed Skin,50,35,55,25,25,15,72,0,0,2,0,0,0,Cocoon Pokémon,0.5,0.5,120,70,Level,7,Any,,Wurmple,Bug,,15,medium_fast,1
343,267,267,Beautifly,normal,Beautifly,,Bug,Flying,Swarm,Swarm,Rivalry,60,70,50,100,50,65,178,0,0,0,3,0,0,Butterfly Pokémon,0.5,0.5,45,70,Level,10,Any,,Silcoon,Bug,,15,medium_fast,0
344,268,268,Cascoon,normal,Cascoon,,Bug,,Shed Skin,Shed Skin,Shed Skin,50,35,55,25,25,15,72,0,0,2,0,0,0,Cocoon Pokémon,0.5,0.5,120,70,Level,7,Any,,Wurmple,Bug,,15,medium_fast,1
345,269,269,Dustox,normal,Dustox,,Bug,Poison,Shield Dust,Shield Dust,Compound Eyes,60,50,70,50,90,65,173,0,0,0,0,3,0,Poison Moth Pokémon,0.5,0.5,45,70,Level,10,Any,,Cascoon,Bug,,15,medium_fast,0
346,270,270,Lotad,normal,Lotad,,Water,Grass,Swift Swim,Rain Dish,Own Tempo,40,30,30,40,50,30,44,0,0,0,0,1,0,Water Weed Pokémon,0.5,0.5,255,70,,,Any,,,Water 1,Grass,15,medium_slow,1
347,271,271,Lombre,normal,Lombre,,Water,Grass,Swift Swim,Rain Dish,Own Tempo,60,50,50,60,70,50,119,0,0,0,0,2,0,Jolly Pokémon,0.5,0.5,120,70,Level,14,Any,,Lotad,Water 1,Grass,15,medium_slow,1
348,272,272,Ludicolo,normal,Ludicolo,,Water,Grass,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,216,0,0,0,0,3,0,Carefree Pokémon,0.5,0.5,45,70,Trade,,Any,,Lombre,Water 1,Grass,15,medium_slow,0
349,273,273,Seedot,normal,Seedot,,Grass,,Chlorophyll,Early Bird,Pickpocket,40,40,50,30,30,30,44,0,0,1,0,0,0,Acorn Pokémon,0.5,0.5,255,70,,,Any,,,Field,Grass,15,medium_slow,1
350,274,274,Nuzleaf,normal,Nuzleaf,,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,70,70,40,60,40,60,119,0,2,0,0,0,0,Wily Pokémon,0.5,0.5,120,70,Level,14,Any,,Seedot,Field,Grass,15,medium_slow,1
351,275,275,Shiftry,normal,Shiftry,,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,90,100,60,90,60,80,216,0,3,0,0,0,0,Wicked Pokémon,0.5,0.5,45,70,Trade,,Any,,Nuzleaf,Field,Grass,15,medium_slow,0
352,276,276,Taillow,normal,Taillow,,Normal,Flying,Guts,Guts,Scrappy,40,55,30,30,30,85,54,0,0,0,0,0,1,Tiny Swallow Pokémon,0.5,0.5,200,70,,,Any,,,Flying,,15,medium_slow,1
353,277,277,Swellow,normal,Swellow,,Normal,Flying,Guts,Guts,Scrappy,60,85,60,75,50,125,159,0,0,0,0,0,2,Swallow Pokémon,0.5,0.5,45,70,Level,22,Any,,Taillow,Flying,,15,medium_slow,0
354,278,278,Wingull,normal,Wingull,,Water,Flying,Keen Eye,Hydration,Rain Dish,40,30,30,55,30,85,54,0,0,0,0,0,1,Seagull Pokémon,0.5,0.5,190,70,,,Any,,,Water 1,Flying,20,medium_fast,1
355,279,279,Pelipper,normal,Pelipper,,Water,Flying,Keen Eye,Drizzle,Rain Dish,60,50,100,95,70,65,154,0,0,2,0,0,0,Water Bird Pokémon,0.5,0.5,45,70,Level,25,Any,,Wingull,Water 1,Flying,20,medium_fast,0
356,280,280,Ralts,normal,Ralts,,Psychic,Fairy,Synchronize,Trace,Telepathy,28,25,25,45,35,40,40,0,0,0,1,0,0,Feeling Pokémon,0.5,0.5,235,35,,,Any,,,Amorphous,,20,slow,1
357,281,281,Kirlia,normal,Kirlia,,Psychic,Fairy,Synchronize,Trace,Telepathy,38,35,35,65,55,50,97,0,0,0,2,0,0,Emotion Pokémon,0.5,0.5,120,35,Level,20,Any,,Ralts,Amorphous,,20,slow,1
358,282,282,Gardevoir,normal,Gardevoir,"normal, mega",Psychic,Fairy,Synchronize,Trace,Telepathy,68,65,65,125,115,80,233,0,0,0,3,0,0,Embrace Pokémon,0.5,0.5,45,35,Level,30,Any,,Kirlia,Amorphous,,20,slow,0
359,880,282,Gardevoir,mega,Gardevoir (Mega Gardevoir),"normal, mega",Psychic,Fairy,Pixilate,Pixilate,Pixilate,68,85,65,165,135,100,278,0,0,0,3,0,0,Embrace Pokémon,0.5,0.5,45,35,Mega,,Any,,Gardevoir,Amorphous,,20,slow,0
360,283,283,Surskit,normal,Surskit,,Bug,Water,Swift Swim,Swift Swim,Rain Dish,40,30,32,50,52,65,54,0,0,0,0,0,1,Pond Skater Pokémon,0.5,0.5,200,70,,,Any,,,Water 1,Bug,15,medium_fast,1
361,284,284,Masquerain,normal,Masquerain,,Bug,Flying,Intimidate,Intimidate,Unnerve,70,60,62,100,82,80,159,0,0,0,1,1,0,Eyeball Pokémon,0.5,0.5,75,70,Level,22,Any,,Surskit,Water 1,Bug,15,medium_fast,0
362,285,285,Shroomish,normal,Shroomish,,Grass,,Effect Spore,Poison Heal,Quick Feet,60,40,60,40,60,35,59,1,0,0,0,0,0,Mushroom Pokémon,0.5,0.5,255,70,,,Any,,,Fairy,Grass,15,fluctuating,1
363,286,286,Breloom,normal,Breloom,,Grass,Fighting,Effect Spore,Poison Heal,Technician,60,130,80,60,60,70,161,0,2,0,0,0,0,Mushroom Pokémon,0.5,0.5,90,70,Level,23,Any,,Shroomish,Fairy,Grass,15,fluctuating,0
364,287,287,Slakoth,normal,Slakoth,,Normal,,Truant,Truant,Truant,60,60,60,35,35,30,56,1,0,0,0,0,0,Slacker Pokémon,0.5,0.5,255,70,,,Any,,,Field,,15,slow,1
365,288,288,Vigoroth,normal,Vigoroth,,Normal,,Vital Spirit,Vital Spirit,Vital Spirit,80,80,80,55,55,90,154,0,0,0,0,0,2,Wild Monkey Pokémon,0.5,0.5,120,70,Level,18,Any,,Slakoth,Field,,15,slow,1
366,289,289,Slaking,normal,Slaking,,Normal,,Truant,Truant,Truant,150,160,100,95,65,100,252,3,0,0,0,0,0,Lazy Pokémon,0.5,0.5,45,70,Level,36,Any,,Vigoroth,Field,,15,slow,0
367,290,290,Nincada,normal,Nincada,,Bug,Ground,Compound Eyes,Compound Eyes,Run Away,31,45,90,30,30,40,53,0,0,1,0,0,0,Trainee Pokémon,0.5,0.5,255,70,,,Any,,,Bug,,15,erratic,1
368,291,291,Ninjask,normal,Ninjask,,Bug,Flying,Speed Boost,Speed Boost,Infiltrator,61,90,45,50,50,160,160,0,0,0,0,0,2,Ninja Pokémon,0.5,0.5,120,70,Level,20,Any,,Nincada,Bug,,15,erratic,0
369,292,292,Shedinja,normal,Shedinja,,Bug,Ghost,Wonder Guard,Wonder Guard,Wonder Guard,1,90,45,30,30,40,83,2,0,0,0,0,0,Shed Pokémon,,,45,70,Level,20,Any,Have empty slot in party,Nincada,Mineral,,15,erratic,0
370,293,293,Whismur,normal,Whismur,,Normal,,Soundproof,Soundproof,Rattled,64,51,23,51,23,28,48,1,0,0,0,0,0,Whisper Pokémon,0.5,0.5,190,70,,,Any,,,Monster,Field,20,medium_slow,1
371,294,294,Loudred,normal,Loudred,,Normal,,Soundproof,Soundproof,Scrappy,84,71,43,71,43,48,126,2,0,0,0,0,0,Big Voice Pokémon,0.5,0.5,120,70,Level,20,Any,,Whismur,Monster,Field,20,medium_slow,1
372,295,295,Exploud,normal,Exploud,,Normal,,Soundproof,Soundproof,Scrappy,104,91,63,91,73,68,221,3,0,0,0,0,0,Loud Noise Pokémon,0.5,0.5,45,70,Level,40,Any,,Loudred,Monster,Field,20,medium_slow,0
373,296,296,Makuhita,normal,Makuhita,,Fighting,,Thick Fat,Guts,Sheer Force,72,60,30,20,30,25,47,1,0,0,0,0,0,Guts Pokémon,0.5,0.5,180,70,,,Any,,,Human-Like,,20,fluctuating,1
374,297,297,Hariyama,normal,Hariyama,,Fighting,,Thick Fat,Guts,Sheer Force,144,120,60,40,60,50,166,2,0,0,0,0,0,Arm Thrust Pokémon,0.5,0.5,200,70,Level,24,Any,,Makuhita,Human-Like,,20,fluctuating,0
375,298,298,Azurill,normal,Azurill,,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,50,20,40,20,40,20,38,1,0,0,0,0,0,Polka Dot Pokémon,0.25,0.75,150,70,,,Any,,,Undiscovered,,10,fast,1
376,299,299,Nosepass,normal,Nosepass,,Rock,,Sturdy,Magnet Pull,Sand Force,30,45,135,45,90,30,75,0,0,1,0,0,0,Compass Pokémon,0.5,0.5,255,70,,,Any,,,Mineral,,20,medium_fast,1
377,300,300,Skitty,normal,Skitty,,Normal,,Cute Charm,Normalize,Wonder Skin,50,45,45,35,35,50,52,0,0,0,0,0,1,Kitten Pokémon,0.25,0.75,255,70,,,Any,,,Field,Fairy,15,fast,1
378,301,301,Delcatty,normal,Delcatty,,Normal,,Cute Charm,Normalize,Wonder Skin,70,65,65,55,55,90,140,1,0,0,0,0,1,Prim Pokémon,0.25,0.75,60,70,Stone,Moon Stone,Any,,Skitty,Field,Fairy,15,fast,0
379,302,302,Sableye,normal,Sableye,"normal, mega",Dark,Ghost,Keen Eye,Stall,Prankster,50,75,75,65,65,50,133,0,1,1,0,0,0,Darkness Pokémon,0.5,0.5,45,35,,,Any,,,Human-Like,,25,medium_slow,0
380,881,302,Sableye,mega,Sableye (Mega Sableye),"normal, mega",Dark,Ghost,Magic Bounce,Magic Bounce,Magic Bounce,50,85,125,85,115,20,168,0,1,1,0,0,0,Darkness Pokémon,0.5,0.5,45,35,Mega,,Any,,Sableye,Human-Like,,25,medium_slow,0
381,303,303,Mawile,normal,Mawile,"normal, mega",Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,50,85,85,55,55,50,133,0,1,1,0,0,0,Deceiver Pokémon,0.5,0.5,45,70,,,Any,,,Field,Fairy,20,fast,0
382,882,303,Mawile,mega,Mawile (Mega Mawile),"normal, mega",Steel,Fairy,Huge Power,Huge Power,Huge Power,50,105,125,55,95,50,168,0,1,1,0,0,0,Deceiver Pokémon,0.5,0.5,45,70,Mega,,Any,,Mawile,Field,Fairy,20,fast,0
383,304,304,Aron,normal,Aron,,Steel,Rock,Sturdy,Rock Head,Heavy Metal,50,70,100,40,40,30,66,0,0,1,0,0,0,Iron Armor Pokémon,0.5,0.5,180,35,,,Any,,,Monster,,35,slow,1
384,305,305,Lairon,normal,Lairon,,Steel,Rock,Sturdy,Rock Head,Heavy Metal,60,90,140,50,50,40,151,0,0,2,0,0,0,Iron Armor Pokémon,0.5,0.5,90,35,Level,32,Any,,Aron,Monster,,35,slow,1
385,306,306,Aggron,normal,Aggron,"normal, mega",Steel,Rock,Sturdy,Rock Head,Heavy Metal,70,110,180,60,60,50,239,0,0,3,0,0,0,Iron Armor Pokémon,0.5,0.5,45,35,Level,42,Any,,Lairon,Monster,,35,slow,0
386,883,306,Aggron,mega,Aggron (Mega Aggron),"normal, mega",Steel,,Filter,Filter,Filter,70,140,230,60,80,50,284,0,0,3,0,0,0,Iron Armor Pokémon,0.5,0.5,45,35,Mega,,Any,,Aggron,Monster,,35,slow,0
387,307,307,Meditite,normal,Meditite,,Fighting,Psychic,Pure Power,Pure Power,Telepathy,30,40,55,40,55,60,56,0,0,0,0,0,1,Meditate Pokémon,0.5,0.5,180,70,,,Any,,,Human-Like,,20,medium_fast,1
388,308,308,Medicham,normal,Medicham,"normal, mega",Fighting,Psychic,Pure Power,Pure Power,Telepathy,60,60,75,60,75,80,144,0,0,0,0,0,2,Meditate Pokémon,0.5,0.5,90,70,Level,37,Any,,Meditite,Human-Like,,20,medium_fast,0
